[0.0083392],[0.00860285],[0.09866185]
[0.0167551],[0.00528621],[0.578418]
[0.09610964],[0.00966904],[0.51495856]
[0.03194669],[0.00278785],[0.52927834]
[0.03522708],[0.0006147],[0.73390037]
[0.02635794],[0.01202994],[0.5311867]
[0.02830789],[0.00078305],[0.7020004]
[0.02460841],[0.00738816],[0.61547697]
[0.0387821],[0.00321339],[0.17692526]
[0.19848451],[0.00077113],[0.5561622]
[0.05303646],[0.00360248],[0.15906133]
[0.10195654],[0.00335329],[0.38702902]
[0.06867362],[0.0069989],[0.33792308]
[0.02118802],[0.00187795],[0.78407663]
[0.0126394],[0.00053125],[0.8082986]
[0.02138484],[0.00327854],[0.16968124]
[0.02118674],[0.00151296],[0.7636593]
