[0.02811441],[0.02714102],[0.29900813]
[0.01826399],[0.00137031],[0.2237834]
[0.01248716],[0.00130442],[0.17756881]
[0.01862253],[0.0462045],[0.28773126]
[0.03583407],[0.00519399],[0.60990137]
[0.01594634],[0.00397348],[0.19453505]
[0.01639016],[0.00155025],[0.7879694]
[0.0175774],[0.00224785],[0.7929026]
[0.00991252],[0.00051972],[0.82787114]
[0.04049627],[0.00220217],[0.72352624]
[0.0106308],[0.00239783],[0.10079493]
[0.02050775],[0.00323809],[0.09246103]
[0.01642115],[0.00724072],[0.6024693]
[0.03858867],[0.00065896],[0.7298713]
[0.03963198],[0.00048039],[0.22746983]
[0.01171524],[0.00460145],[0.07661775]
[0.02324247],[0.00248671],[0.39350414]
