[0.02196062],[0.00011558],[0.7646018]
[0.01314743],[0.00195993],[0.8053627]
[0.03255059],[0.0095838],[0.56798327]
[0.01308331],[0.00086371],[0.7951328]
[0.02572015],[0.01791422],[0.60648626]
[0.0375069],[7.543149e-05],[0.7365753]
[0.01521646],[0.00027025],[0.8058322]
[0.1728703],[0.00636677],[0.48467475]
[0.02482024],[0.00153982],[0.3938721]
[0.04266285],[0.01019413],[0.21437187]
[0.01744373],[0.00026783],[0.78061795]
[0.06025281],[0.00488703],[0.6476431]
[0.03239327],[0.00124765],[0.75238574]
[0.01057668],[0.00219805],[0.82680607]
[0.04225375],[0.00078953],[0.73174125]
[0.02248898],[0.00093137],[0.76750153]
[0.01916933],[0.00082009],[0.7648009]
[0.01871645],[0.00190347],[0.7911594]
[0.02368484],[0.00253622],[0.7474597]
[0.04213492],[0.00092995],[0.72418356]
[0.02687674],[0.00372656],[0.08993928]
[0.02499212],[0.00483817],[0.39402482]
