[0.02850534],[0.00292637],[0.5492261]
[0.01231686],[0.00769602],[0.19348851]
[0.0264476],[0.00056266],[0.7648156]
[0.02177955],[0.00123063],[0.7728491]
[0.02494776],[0.00660296],[0.3259472]
[0.03037609],[0.00089408],[0.74717516]
[0.03602396],[0.00022283],[0.73215914]
[0.0278585],[0.00045677],[0.75616944]
[0.01646817],[0.00047378],[0.7825139]
[0.0116396],[0.00407033],[0.15311673]
[0.02796739],[0.00392851],[0.7255539]
[0.02282448],[0.00040683],[0.76950824]
[0.01611613],[0.00253381],[0.24050939]
[0.02620756],[0.00031529],[0.7599543]
[0.01668487],[0.00105795],[0.79082966]
[0.01528832],[0.00365876],[0.18535]
[0.0327228],[0.00416924],[0.15196595]
[0.07488554],[0.0032694],[0.27968818]
[0.03414848],[0.00486167],[0.25307396]
[0.05501576],[0.00062366],[0.700575]
[0.12435661],[0.01663173],[0.4544081]
[0.01813431],[0.00093517],[0.7854145]
[0.01379659],[0.00157591],[0.21300419]
