[0.16861589],[0.00695535],[0.5288328]
[0.02128866],[0.03405296],[0.25427765]
[0.05990192],[0.00053742],[0.6946384]
[0.01439421],[0.00107757],[0.7848416]
[0.0334857],[0.0021794],[0.30590922]
[0.01865776],[0.00115906],[0.7841864]
[0.01265033],[0.00027127],[0.8192735]
[0.02398884],[0.00058558],[0.76009333]
[0.02072344],[0.00051522],[0.7792079]
[0.02362437],[0.00099757],[0.77044094]
[0.03278438],[0.00428252],[0.55158496]
[0.01771896],[0.01344413],[0.6546296]
[0.05279569],[0.00126895],[0.67741823]
[0.0130726],[0.00087984],[0.8009146]
[0.02235975],[0.0018825],[0.7688468]
[0.0229488],[0.00143675],[0.7750197]
[0.03162985],[0.00067156],[0.74334264]
[0.0130116],[0.0011869],[0.81201255]
[0.1100933],[0.00335288],[0.39468083]
[0.02734243],[0.00734932],[0.5769669]
[0.03669953],[0.01237819],[0.5001772]
