[0.03001595],[0.00980835],[0.4573412]
[0.01209045],[0.01004259],[0.13011879]
[0.02680611],[0.0006096],[0.7579429]
[0.08796591],[0.00218773],[0.279814]
[0.02764854],[0.0004256],[0.75542843]
[0.02741784],[0.00174104],[0.75239354]
[0.03750756],[0.00093608],[0.7430509]
[0.01656611],[0.00083438],[0.24622135]
[0.03916313],[0.00084075],[0.7095716]
[0.03255733],[0.00099084],[0.7417933]
[0.02328106],[0.0016879],[0.7660681]
[0.02851637],[0.00100113],[0.60829866]
[0.02400443],[0.00136004],[0.655163]
[0.0508057],[0.00146928],[0.7030406]
[0.14701396],[0.00089279],[0.47581786]
[0.16396686],[0.00131567],[0.53448486]
[0.06608444],[0.00498696],[0.62620974]
[0.01437573],[0.00043549],[0.8011104]
[0.03443654],[0.00063556],[0.7405605]
[0.03996059],[0.00174759],[0.73194706]
[0.02753579],[0.0008368],[0.752135]
[0.02349984],[0.0004454],[0.7676905]
[0.01475692],[0.00110885],[0.80321246]
[0.04425798],[0.00391834],[0.666631]
[0.05090342],[0.00493645],[0.305539]
[0.02265686],[0.05419473],[0.4915665]
