[0.01700836],[0.05607355],[0.34310237]
[0.00942015],[0.00076099],[0.8282207]
[0.02354898],[0.00069166],[0.23470592]
[0.01629001],[0.00309727],[0.21021399]
[0.04465052],[0.00135715],[0.64862776]
[0.02196727],[0.00215659],[0.6631299]
[0.01510646],[0.00164723],[0.19340424]
[0.02041607],[0.00606792],[0.69339526]
[0.01460265],[0.00195962],[0.7909895]
[0.04258078],[0.00147483],[0.7190422]
[0.02256006],[0.00523668],[0.09734706]
[0.0273691],[3.3812077e-05],[0.75339586]
[0.01676132],[0.00096414],[0.7912822]
[0.02538134],[0.00026038],[0.7534007]
[0.0186176],[0.00047716],[0.7798705]
