[0.02903709],[0.00091134],[0.50322235]
[0.01522932],[0.0035701],[0.16630821]
[0.02941029],[0.00542743],[0.58539903]
[0.02007579],[0.00182555],[0.771101]
[0.02655418],[0.00039499],[0.7558096]
[0.02288854],[0.00093341],[0.7605374]
[0.03928843],[0.00314825],[0.71580935]
[0.05406238],[0.00225752],[0.24478988]
[0.02262207],[0.0014658],[0.7629616]
[0.0209118],[0.00093489],[0.7740004]
[0.01955898],[0.00112098],[0.7782842]
[0.03431164],[0.00193637],[0.7385062]
[0.03836974],[0.0003755],[0.16933751]
[0.10226891],[0.00915801],[0.25672776]
[0.02345466],[0.00220111],[0.14666599]
[0.03591228],[0.04399452],[0.18689166]
[0.03282527],[0.00038858],[0.6772232]
[0.02146992],[0.01701112],[0.5863429]
[0.02199568],[0.00089993],[0.77027094]
[0.01940844],[0.0002868],[0.7829725]
[0.02852945],[0.00041168],[0.7561187]
[0.0150354],[0.00113777],[0.80035925]
[0.02774732],[0.00092535],[0.76583683]
[0.0179544],[0.00049597],[0.78657496]
[0.02178291],[0.01418854],[0.16032965]
[0.03266237],[0.0034494],[0.0946634]
[0.02565104],[0.0007469],[0.764851]
[0.02365792],[0.00170804],[0.76192933]
[0.03037659],[0.00170305],[0.18509217]
[0.01890687],[0.00027004],[0.7834473]
[0.01474641],[0.00052327],[0.80016327]
[0.02916192],[0.00291963],[0.7321553]
