[0.00804493],[0.00024679],[0.09337036]
[0.03268943],[0.00132355],[0.7432375]
[0.01630579],[0.00142096],[0.79394233]
[0.00950177],[0.00121597],[0.81774884]
[0.01174278],[0.00261766],[0.17514417]
[0.02487882],[0.01319853],[0.46080226]
[0.02419111],[0.00611197],[0.41559085]
[0.01192024],[0.00268912],[0.8132167]
[0.03116241],[0.00497721],[0.3317036]
[0.02195025],[0.00125239],[0.7515665]
[0.01450468],[0.00240947],[0.24055412]
[0.09539612],[0.01450756],[0.3091699]
[0.01958397],[0.00224827],[0.06858609]
[0.03673784],[0.04776827],[0.30136746]
[0.03067826],[0.00250889],[0.7404642]
[0.03527722],[0.00404902],[0.19381979]
[0.02623593],[0.00146225],[0.11289971]
[0.05846122],[0.0068781],[0.47137913]
[0.02614501],[0.00224612],[0.132305]
[0.02678239],[0.00472564],[0.18020633]
[0.02686567],[0.00906628],[0.11663]
[0.02270928],[0.0004619],[0.08706889]
[0.05721424],[0.00690626],[0.14473815]
[0.01729118],[0.00153939],[0.07012906]
[0.04932144],[0.00085876],[0.24638776]
[0.01941517],[0.0010365],[0.7811644]
[0.01464116],[0.00248758],[0.12328838]
[0.02325437],[0.00053907],[0.7608524]
[0.02452527],[0.00031094],[0.7582585]
[0.00682995],[0.00369932],[0.02369715]
