[0.02025213],[0.00192963],[0.75994045]
[0.01844292],[0.00439913],[0.40023285]
[0.03331926],[0.00023655],[0.7379185]
[0.04907577],[0.00135374],[0.55579513]
[0.03572949],[0.00073037],[0.74416524]
[0.01963637],[0.00235011],[0.76726735]
[0.01809547],[0.00154466],[0.79420894]
[0.02471027],[0.00094659],[0.6325139]
[0.01975934],[0.00341422],[0.26263553]
[0.11312743],[0.00172565],[0.40823942]
[0.11905757],[0.02715962],[0.32190385]
[0.0331312],[0.00310265],[0.7059242]
[0.02167506],[0.0006375],[0.77049047]
[0.02813067],[0.00086927],[0.75358856]
[0.01437922],[0.00053259],[0.8093079]
[0.02612664],[0.0003781],[0.764851]
[0.02679734],[0.00081081],[0.7531792]
[0.01136794],[0.000851],[0.1808774]
[0.03204778],[0.00428817],[0.1296803]
[0.01596404],[0.03440783],[0.42613068]
[0.02942504],[0.00166503],[0.74971545]
[0.03026344],[0.00379939],[0.7437954]
