[0.02880077],[0.03138853],[0.3862415]
[0.02378556],[0.00090941],[0.7680977]
[0.02228853],[0.00175772],[0.22682576]
[0.01754422],[0.00654564],[0.18029453]
[0.05379413],[0.00367588],[0.37151498]
[0.02950539],[0.00423525],[0.5600674]
[0.03104919],[0.00022647],[0.7515997]
[0.02622687],[0.00074438],[0.74997646]
[0.03625345],[0.00328596],[0.41619214]
[0.0159693],[0.00197331],[0.30183482]
[0.0110737],[0.00162817],[0.16406412]
[0.02499608],[0.00053474],[0.760354]
[0.058141],[0.00141685],[0.7057501]
[0.03026077],[0.00082201],[0.37129384]
[0.04609748],[0.0012679],[0.7126988]
[0.03091497],[0.00092681],[0.744577]
[0.07464554],[0.01041637],[0.398516]
[0.03533212],[0.02193018],[0.23070876]
[0.06387103],[0.00549205],[0.3670448]
[0.03209497],[0.00188043],[0.7341549]
[0.03768183],[0.00183544],[0.7385696]
[0.0219739],[0.01974907],[0.18849501]
[0.03240036],[0.0099517],[0.26350552]
[0.03024406],[0.00134941],[0.3098893]
[0.02779461],[0.00061026],[0.11629083]
[0.02241242],[0.00122375],[0.28354558]
[0.03012276],[0.0012979],[0.11645229]
[0.01908366],[0.0010452],[0.12474672]
[0.02142805],[0.00559271],[0.12215717]
[0.04371669],[0.043118],[0.33452004]
[0.03377267],[0.00225299],[0.1575287]
[0.01990679],[0.00261719],[0.19317012]
[0.05493492],[0.00055329],[0.6827916]
[0.02196791],[0.02073263],[0.5250738]
[0.01694859],[0.0011747],[0.11860444]
[0.02247367],[0.07626013],[0.21113284]
[0.02115803],[0.00366142],[0.11535746]
[0.02767742],[0.00183441],[0.07745896]
[0.02672547],[0.00132477],[0.7653325]
[0.05547218],[0.00530877],[0.63688904]
[0.01751408],[0.00222737],[0.08719164]
[0.03305535],[0.01300665],[0.06614856]
[0.02874264],[0.00499593],[0.6192782]
[0.01840277],[0.00166642],[0.14976294]
[0.02994251],[0.00156545],[0.21041045]
[0.01736373],[0.04761415],[0.322653]
[0.02569962],[0.00121581],[0.7669107]
[0.02219664],[0.00428153],[0.09772553]
[0.01841762],[0.00270933],[0.13450089]
[0.01903876],[0.01108292],[0.05813128]
[0.02173792],[0.0015899],[0.15479055]
[0.02180271],[0.00511906],[0.15435477]
[0.02483814],[0.00013698],[0.7570841]
[0.03416842],[0.0075029],[0.60081303]
[0.00618511],[0.00373261],[0.09304352]
[0.02428816],[0.00026066],[0.3816276]
[0.01224259],[0.00053166],[0.05044319]
[0.04404078],[0.00164586],[0.617962]
[0.01469116],[0.0042874],[0.15274782]
[0.01905585],[0.00405315],[0.23531881]
[0.00917372],[0.00171395],[0.05934151]
