[0.12771548],[0.00397368],[0.4179709]
[0.01993779],[0.00065629],[0.2273579]
[0.13833606],[0.02070145],[0.47053784]
[0.03921072],[0.00078939],[0.7268813]
[0.03861444],[0.004253],[0.62478626]
[0.02836822],[0.00151911],[0.75565493]
[0.02617994],[0.00035879],[0.76006585]
[0.06690183],[0.00513885],[0.24344352]
[0.04245028],[0.00121637],[0.72209597]
[0.03139207],[0.00031497],[0.7352944]
[0.01885292],[0.00176732],[0.773304]
[0.03102817],[0.00103746],[0.72083855]
[0.135361],[0.01650069],[0.4145008]
[0.016744],[0.00071124],[0.7916582]
[0.01080091],[0.00124536],[0.14199273]
[0.01037043],[0.00280449],[0.14949526]
[0.04705535],[0.00660856],[0.5514862]
[0.02517268],[0.0018741],[0.6030839]
[0.02323744],[0.00107732],[0.7718153]
[0.02761311],[0.00071431],[0.7552455]
[0.13653411],[0.0331241],[0.36381975]
[0.13783543],[0.02151835],[0.32826242]
[0.08275105],[0.00775672],[0.60949177]
[0.03517133],[0.00569906],[0.22378334]
[0.13846067],[0.01400374],[0.30127624]
[0.03725875],[0.00037875],[0.7251524]
[0.08843558],[0.01053204],[0.1326706]
[0.06937801],[0.00577958],[0.2581733]
[0.03094143],[0.00213217],[0.5876003]
[0.04137081],[0.00430763],[0.14356136]
[0.05764495],[0.0028152],[0.18599936]
[0.05665014],[0.00154361],[0.2209527]
[0.12116914],[0.01484657],[0.3174444]
[0.05192213],[0.00162882],[0.15276352]
[0.02567509],[0.00299389],[0.732999]
[0.04315154],[0.01002234],[0.17796405]
[0.01760812],[0.00321721],[0.15771845]
[0.03556315],[0.00017697],[0.74393094]
[0.04220823],[0.00211792],[0.71709967]
[0.02322724],[0.00088648],[0.77500093]
[0.05257843],[0.00532804],[0.29524747]
[0.03470127],[0.00386897],[0.17364907]
[0.02816434],[0.00960241],[0.10737173]
[0.01778059],[0.01159974],[0.04822867]
[0.03100212],[6.790666e-05],[0.74518275]
[0.08661222],[0.00344443],[0.4751957]
[0.02949255],[0.00194045],[0.7572608]
[0.02152481],[0.00121817],[0.77036446]
[0.02502944],[0.00187775],[0.06038422]
[0.05168728],[0.00014383],[0.32367808]
[0.06738249],[0.01087481],[0.5945427]
[0.03313522],[0.00046954],[0.711946]
[0.015446],[0.00235329],[0.19226697]
[0.01665341],[0.00316569],[0.27044097]
[0.05619316],[0.00361109],[0.63889617]
[0.0221736],[0.00066043],[0.22376208]
