[0.02188591],[0.00061212],[0.3323579]
[0.01412089],[0.00187615],[0.8001916]
[0.01805491],[0.0004348],[0.7828082]
[0.01951651],[0.0003574],[0.7836288]
[0.0290321],[0.00062482],[0.7584146]
[0.02954961],[0.00137808],[0.69911957]
[0.01578921],[0.00070134],[0.7915734]
[0.02785986],[0.01780101],[0.60676765]
[0.03506425],[0.00132443],[0.7318835]
[0.01343691],[0.00213944],[0.8116121]
[0.02691731],[0.00093627],[0.7569722]
[0.02187923],[0.00125246],[0.76884216]
[0.0549348],[0.00449711],[0.6060683]
[0.03481458],[0.00084074],[0.7249252]
[0.02610199],[0.0036389],[0.76132286]
[0.024312],[0.00644813],[0.38845807]
