[0.02336507],[0.00112055],[0.7683881]
[0.049436],[0.00160983],[0.69243765]
[0.02342616],[0.00108411],[0.76470464]
[0.02165848],[0.00165684],[0.7775038]
[0.01413135],[0.00240466],[0.799798]
[0.01567564],[0.00388171],[0.78810567]
[0.01799796],[0.00033332],[0.7843689]
[0.03508111],[0.00074321],[0.7435504]
[0.0212567],[0.00422084],[0.28468877]
[0.05548428],[0.00491033],[0.6825403]
[0.02837299],[0.00347242],[0.38816777]
[0.16650148],[0.00362398],[0.54466593]
[0.00489936],[0.00307925],[0.869943]
[0.03614378],[0.0001804],[0.73137057]
[0.11099246],[0.00709879],[0.5428312]
[0.01984571],[0.00233475],[0.77254075]
[0.02425968],[0.00123],[0.7569011]
[0.04336549],[0.00134706],[0.7238785]
[0.02623838],[0.00020683],[0.7612812]
[0.03107243],[0.00335063],[0.73664874]
[0.01707357],[0.00458901],[0.14902383]
[0.02233973],[0.00400535],[0.64325494]
[0.02780679],[0.00533056],[0.14692295]
[0.01810069],[0.00042166],[0.7811351]
[0.02286684],[0.00595026],[0.22280975]
