[0.02373435],[0.00032327],[0.77048004]
[0.01661069],[0.00353945],[0.26099834]
[0.01997465],[0.00096235],[0.28961876]
[0.0113878],[0.0027731],[0.12024925]
[0.01522534],[0.00083238],[0.19719738]
[0.02002179],[0.00375733],[0.710087]
[0.02359925],[0.00091953],[0.3609887]
[0.01575343],[0.00290892],[0.13999316]
[0.027793],[0.00681737],[0.7082144]
[0.03352743],[0.00186282],[0.70260584]
[0.01758694],[0.00065298],[0.78960407]
[0.02411723],[0.0044229],[0.17132875]
[0.02316015],[0.00090295],[0.76544404]
[0.04344508],[0.00445517],[0.1610444]
[0.02068594],[0.00064272],[0.7732006]
[0.03714506],[0.00408798],[0.19429736]
[0.02453444],[0.03476843],[0.42802373]
[0.03100419],[0.00111813],[0.74717844]
