[0.02352529],[0.00212176],[0.7693789]
[0.01294396],[0.00173046],[0.80862534]
[0.02514905],[0.0007096],[0.75195396]
[0.01326944],[0.00249942],[0.18117927]
[0.02856414],[0.00102986],[0.6330198]
[0.03248927],[0.00203635],[0.7451185]
[0.03431847],[0.00130621],[0.6209367]
[0.01795031],[0.00250614],[0.7791589]
[0.02346862],[0.00134445],[0.53839624]
[0.01344626],[0.00123767],[0.8042401]
[0.02069542],[0.00292899],[0.2717603]
[0.0443487],[0.0026804],[0.35813054]
[0.01364048],[0.00030512],[0.8009731]
[0.15437762],[0.00463696],[0.48519325]
[0.11083198],[0.00976592],[0.25754794]
[0.1499625],[0.00424889],[0.52126133]
[0.03410678],[0.00077407],[0.7392928]
[0.01305602],[0.00228255],[0.18774995]
[0.07647656],[0.0051466],[0.299617]
[0.04039158],[0.00213183],[0.70278484]
[0.03398114],[0.00482807],[0.16899237]
[0.09617199],[0.00856043],[0.44596395]
[0.02071223],[0.00075307],[0.774883]
[0.02364814],[0.00029032],[0.7725612]
[0.04642894],[0.00723288],[0.42110926]
[0.01074909],[0.00348643],[0.8218832]
[0.02519367],[0.00709437],[0.6033348]
