[0.02722316],[0.00257385],[0.46104145]
[0.01503099],[0.00537159],[0.22979188]
[0.03046121],[0.00077844],[0.47120446]
[0.02324139],[0.0019492],[0.31673312]
[0.01591955],[0.00864933],[0.10320769]
[0.02294231],[0.00604845],[0.5325763]
[0.02454938],[0.00172745],[0.4892938]
[0.03352997],[0.00040969],[0.7438227]
[0.02886095],[0.00195483],[0.7572857]
[0.01780257],[0.00307349],[0.13543104]
[0.14280476],[0.01954161],[0.35181513]
[0.05721618],[0.00104366],[0.25741702]
[0.06715118],[0.02075729],[0.09227321]
[0.02216613],[0.00015823],[0.77304333]
[0.08448548],[0.0125633],[0.25056103]
[0.10690521],[0.00802466],[0.2925015]
[0.03410451],[0.00571188],[0.15258041]
[0.03028637],[0.02669311],[0.40374392]
[0.1266607],[0.00694809],[0.30528122]
[0.02757989],[0.00152352],[0.06100721]
[0.02585804],[0.00103834],[0.08116732]
[0.0196325],[0.00321262],[0.5362674]
[0.04829485],[0.02382024],[0.29599056]
[0.05321947],[0.00218643],[0.68624616]
[0.03641592],[0.02138852],[0.2810828]
[0.0378496],[0.00356934],[0.5140325]
[0.02557485],[0.00127121],[0.6704921]
[0.03349809],[0.000915],[0.5129782]
