[0.02757705],[0.01268647],[0.44481793]
[0.01512124],[0.0456495],[0.22731552]
[0.02632135],[0.00093657],[0.5465485]
[0.01605217],[0.00150548],[0.79984343]
[0.03012075],[0.01986184],[0.30132753]
[0.0112581],[0.00766861],[0.1262657]
[0.03505198],[0.00505352],[0.4641791]
[0.01388262],[0.00358014],[0.18148656]
[0.01815512],[0.00471881],[0.2218873]
[0.02093389],[0.00039816],[0.3019244]
[0.01919692],[0.00143215],[0.789539]
[0.02839942],[0.00097622],[0.74199635]
[0.10212385],[0.00711962],[0.30964357]
[0.0299061],[0.00155316],[0.7522739]
[0.0208239],[0.00141379],[0.77804774]
[0.0507757],[0.01073439],[0.1454317]
[0.04367771],[0.00029968],[0.6616719]
[0.01541545],[0.00654431],[0.1691564]
[0.03496612],[0.00508579],[0.5097714]
