[0.02369022],[0.00124036],[0.23478396]
[0.02680609],[0.01317817],[0.2306505]
[0.03326347],[0.00158362],[0.73901045]
[0.01533592],[0.00403405],[0.79862565]
[0.01685665],[0.00065313],[0.17617683]
[0.02525599],[0.00107298],[0.54156494]
[0.02893037],[0.00508055],[0.4003748]
[0.03800114],[0.01136226],[0.26783025]
[0.01458423],[0.00149124],[0.21825941]
[0.03055876],[0.00030484],[0.75007975]
[0.11251454],[0.03717638],[0.28877345]
[0.01703486],[0.0015056],[0.7855495]
[0.03934457],[0.00136273],[0.73183525]
[0.03805307],[0.00095876],[0.737041]
[0.02650436],[0.00026861],[0.75517875]
