[0.03129207],[0.00155852],[0.7253314]
[0.02372628],[0.00095644],[0.60941494]
[0.02445793],[0.00097015],[0.7615289]
[0.01703313],[0.00083506],[0.77491677]
[0.01739889],[0.00353811],[0.7139508]
[0.0257847],[0.00264762],[0.27289885]
[0.02772307],[0.00254151],[0.60578537]
[0.00767554],[0.00102437],[0.08455371]
[0.01963024],[0.0016425],[0.7753045]
[0.03101415],[0.00026007],[0.7488376]
[0.02599026],[0.00051023],[0.74941146]
[0.05227171],[0.0022675],[0.6058949]
[0.02280406],[0.00131866],[0.7717122]
[0.01140217],[0.00269688],[0.1435626]
