[0.02155839],[0.03640665],[0.290853]
[0.02148851],[0.01065096],[0.5924829]
[0.00809244],[0.00619211],[0.11110868]
[0.02792537],[0.00130366],[0.6959497]
[0.02671456],[0.00148125],[0.76085436]
[0.02080615],[0.0010118],[0.7801799]
[0.03156982],[0.00445044],[0.69683015]
[0.03955312],[0.0001825],[0.7336449]
[0.00868989],[0.00232055],[0.1219399]
[0.0341306],[0.00042313],[0.7458229]
[0.0195407],[0.00567996],[0.27143404]
[0.02273298],[0.03087498],[0.25284696]
[0.02397417],[0.00068037],[0.7616321]
[0.0218388],[0.00058321],[0.77284116]
