[0.02737335],[0.0026818],[0.51918596]
[0.02705756],[0.00595453],[0.38376045]
[0.03259069],[0.00179576],[0.6994798]
[0.01247388],[0.00351857],[0.15092859]
[0.02985808],[0.0022327],[0.4802467]
[0.02154785],[0.00019713],[0.770748]
[0.0240005],[0.00305162],[0.74455017]
[0.025734],[0.00788987],[0.69809]
[0.02470133],[0.00249661],[0.51004195]
[0.02420967],[0.00151057],[0.76727855]
[0.02138192],[0.0029417],[0.43400964]
[0.03249932],[0.0031502],[0.7101002]
[0.05284443],[0.00107527],[0.69041294]
[0.04993236],[0.00045819],[0.2640718]
[0.0205307],[0.00145789],[0.7829536]
[0.02679735],[0.00333754],[0.15957391]
[0.02383199],[0.00166799],[0.75531876]
[0.02293032],[0.00216599],[0.09140129]
[0.02343385],[0.00076433],[0.77700025]
[0.02678989],[0.00075832],[0.7594559]
[0.03577524],[0.00418359],[0.14579752]
[0.02811826],[0.00963855],[0.14132124]
[0.01866777],[0.00110855],[0.77866215]
