[0.02132738],[0.00704184],[0.21750171]
[0.00972359],[0.00120498],[0.82244813]
[0.02912839],[0.00165984],[0.34161434]
[0.03106921],[0.00325686],[0.38968974]
[0.01161486],[0.00292013],[0.20085359]
[0.03904284],[0.00051729],[0.22357766]
[0.01257005],[0.00450109],[0.13982442]
[0.01813392],[0.00059862],[0.19108643]
[0.02349612],[0.00180756],[0.7607772]
[0.01767616],[0.00023505],[0.7835594]
[0.05232411],[0.0025454],[0.68716747]
[0.04076037],[0.0003106],[0.7182091]
[0.15658921],[0.00789003],[0.3766658]
[0.01965034],[0.00113968],[0.25320488]
[0.01934049],[0.00032047],[0.78418356]
[0.02012422],[0.0002729],[0.7815284]
[0.02226525],[0.00197664],[0.763245]
[0.02794327],[0.00058041],[0.7580144]
[0.02132468],[0.00034945],[0.761623]
[0.02412387],[0.00172364],[0.7607951]
[0.01556854],[0.00294652],[0.7786984]
[0.01368283],[0.00052152],[0.8062364]
[0.02281549],[0.0010915],[0.77014714]
