[0.01664431],[0.00093819],[0.18774144]
[0.02324836],[0.00336599],[0.4473385]
[0.02556037],[0.02981033],[0.47511417]
[0.01546874],[0.05211626],[0.26737195]
[0.02071308],[0.00117873],[0.6075772]
[0.02143226],[0.00202996],[0.5773531]
[0.01683604],[0.00225598],[0.779589]
[0.02169605],[0.00508934],[0.24441624]
[0.02341985],[0.00060349],[0.7687062]
[0.03218909],[0.00039643],[0.74376094]
[0.09203252],[0.00527014],[0.26307824]
[0.08747295],[0.00393966],[0.2761]
[0.02891283],[0.00384172],[0.5728555]
[0.01424327],[0.0005997],[0.8023857]
[0.08607615],[0.00210233],[0.31007203]
[0.02652352],[0.00062427],[0.7630781]
[0.0186528],[0.00283962],[0.12312718]
[0.02750005],[0.00204527],[0.42717814]
[0.01180437],[0.00338907],[0.09502057]
[0.0464391],[0.00218187],[0.464279]
