[0.03583654],[0.00270473],[0.7373194]
[0.01950946],[0.02469342],[0.51185167]
[0.02069893],[0.00128333],[0.77200264]
[0.02477516],[0.00874089],[0.4514881]
[0.01624433],[0.00254874],[0.21398783]
[0.03423687],[0.00500844],[0.7075463]
[0.10221407],[0.00403124],[0.39014274]
[0.01222846],[0.00376072],[0.1958172]
[0.02863836],[0.00145175],[0.7444737]
[0.01524938],[0.00095224],[0.79499185]
[0.03166154],[0.00260614],[0.7411475]
[0.02705285],[0.00195672],[0.7520505]
[0.01875992],[0.00166386],[0.781646]
[0.0164323],[0.00449353],[0.10829649]
[0.01000982],[0.00480665],[0.09682779]
[0.01934992],[0.00313301],[0.06656025]
[0.01999553],[0.00195772],[0.7840756]
[0.02448966],[0.05025672],[0.252893]
[0.02061873],[0.00301587],[0.5351653]
