[0.01095675],[0.00124282],[0.16936591]
[0.0177623],[0.0007731],[0.22129974]
[0.01170886],[0.05476829],[0.23802462]
[0.02286979],[0.00219084],[0.6837641]
[0.03163128],[0.0017605],[0.55230844]
[0.02006645],[0.00021567],[0.7721457]
[0.08098836],[0.02249813],[0.5455546]
[0.033311],[0.00139859],[0.7417689]
[0.05599889],[0.00312121],[0.40337363]
[0.09257106],[0.01566902],[0.19385545]
[0.04774171],[0.00808697],[0.1857249]
[0.03088203],[0.00044165],[0.74328923]
[0.0248932],[0.00094249],[0.76572716]
[0.03489099],[0.00280534],[0.2480926]
[0.02352573],[0.00541223],[0.0797075]
[0.07690942],[0.00907144],[0.31455472]
[0.01746842],[0.00364507],[0.16781986]
[0.01830644],[0.00039669],[0.31446052]
[0.04124954],[0.00346058],[0.7117656]
[0.00919247],[0.01003377],[0.0467486]
[0.015568],[0.00132664],[0.19015615]
[0.02064718],[0.00586016],[0.24780062]
[0.01436034],[0.00279629],[0.07847889]
[0.01821331],[0.04066575],[0.27945304]
