[0.03206471],[0.00389431],[0.34345162]
[0.00771528],[0.00336995],[0.83410054]
[0.01637942],[0.00182532],[0.78369176]
[0.01487569],[0.00156445],[0.17754352]
[0.05945781],[0.00184783],[0.67218053]
[0.01744343],[0.00039854],[0.78147995]
[0.01765691],[0.00344871],[0.28397632]
[0.01200812],[0.00174187],[0.8134168]
[0.01835683],[0.00082509],[0.78816587]
[0.02967306],[0.00132714],[0.75486743]
[0.01209537],[0.00222937],[0.79104185]
[0.01633062],[0.08917539],[0.41678795]
[0.02814296],[0.00068884],[0.7548994]
[0.02007985],[0.00071263],[0.78172135]
[0.01155705],[0.002445],[0.7832546]
[0.00824521],[0.00183571],[0.83864087]
[0.01527107],[0.00173446],[0.7836262]
[0.02244881],[0.00036397],[0.7708241]
[0.14923035],[0.00703058],[0.4885811]
[0.09570127],[0.01102323],[0.26142702]
[0.00639223],[0.00446259],[0.85280275]
[0.01060522],[0.00058274],[0.8164509]
[0.01308472],[0.00356957],[0.78975904]
[0.01937521],[0.00056162],[0.7833084]
