[0.01930119],[0.00170088],[0.17826644]
[0.0251094],[0.00093125],[0.7636262]
[0.02046255],[0.00361993],[0.6137759]
[0.02308422],[0.00066873],[0.77172023]
[0.02884332],[0.00232199],[0.5488018]
[0.02542854],[0.00612249],[0.34793538]
[0.02827679],[0.00122853],[0.3047541]
[0.02179933],[0.0009343],[0.7778202]
[0.02404663],[0.0015973],[0.76445645]
[0.0253261],[0.00099857],[0.7665404]
[0.06402618],[0.00070511],[0.5498401]
[0.02776472],[0.00030891],[0.7559126]
[0.05607813],[0.00213374],[0.57938963]
[0.03118429],[0.00143097],[0.75067294]
[0.02338674],[0.00454093],[0.48759905]
[0.02453983],[0.00609053],[0.17591378]
[0.01655374],[0.01874412],[0.11618318]
[0.01514672],[0.00324143],[0.11492665]
[0.01909368],[0.00461988],[0.23272268]
