[0.01253238],[0.00046076],[0.15469703]
[0.0096758],[0.00362396],[0.12257464]
[0.15364017],[0.00586132],[0.5693501]
[0.01030825],[0.00127633],[0.14861555]
[0.02616771],[0.00621978],[0.3595677]
[0.02442179],[0.00250021],[0.672365]
[0.0996358],[0.00341681],[0.600266]
[0.01438467],[0.00199287],[0.7938256]
[0.0345746],[0.00269458],[0.48658675]
[0.01944399],[0.00156943],[0.28600407]
[0.033094],[0.00035887],[0.7367145]
[0.01995083],[0.00221668],[0.778179]
[0.01926176],[0.00123844],[0.78788304]
[0.03149233],[0.00072906],[0.7425984]
[0.02511316],[0.0030474],[0.76479346]
[0.09904061],[0.00396146],[0.5368761]
[0.03287287],[0.00167872],[0.7458555]
[0.02914533],[0.00145083],[0.75003856]
[0.02137942],[0.00072186],[0.7608663]
[0.08615436],[0.00532583],[0.3315116]
[0.02627835],[0.00318581],[0.71841395]
[0.01651759],[0.00105389],[0.78867126]
[0.03397227],[0.00644743],[0.6253761]
[0.01825917],[0.00124531],[0.7854997]
[0.01177568],[0.0012427],[0.8086079]
[0.04582253],[0.0087376],[0.5683145]
[0.02375948],[0.00074656],[0.15045667]
